Sequences,Teams,Label
ssssssss,Tunisia,Low
mxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtu,Tunisia,Low
Cmxtuxtuxtutu,Tunisia,Low
sssHmxiog,Tunisia,Low
tutuxfC,Tunisia,Low
tuxtuxtuxtuxtuxtuxtuxtuxi,Tunisia,Low
sssssssdmxtuc,Tunisia,Low
tuxtuxtuxtuxtuxtuxtuxtuxtuxExtuxtuxtuxtuxtuxtuxtuxtuxtu,Tunisia,Low
sssssssdg,Tunisia,Low
tuxtuxtuxtuxtu,Tunisia,Low
tupssddssd,Tunisia,Low
tuxtuxtuxtuxtuxtuxf,Tunisia,Low
sssstuxissspsH,Tunisia,Low
tuxtuC,Tunisia,Low
htuxtuxtuxtuxtu,Tunisia,Low
sdsssssssspspCmxtuxEs,Tunisia,Low
mxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtu,Tunisia,Low
tuxExz,Tunisia,Low
tuxtuxtumxtuxtuxtuxtuxtuxtuxtu,Tunisia,Low
Cxtuxtuxtumxz,Tunisia,Low
tuCmxtuxtuxtuxtuxtuz,Tunisia,Low
tuxtud,Tunisia,Low
Ctuxtuxtuxtud,Tunisia,Low
ssssssssdH,Tunisia,Low
tuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxExtuxtuxExExtuxtuxtuxtuxtuxtua,Tunisia,Low
htuxtuxtuxi,Tunisia,Low
sssGxtussC,Tunisia,Low
dgggmxt,Tunisia,Low
htuxfmxEsG,Tunisia,Low
htuxtuxtuxt,Tunisia,Low
sHtuxt,Tunisia,Low
Cxtuxtuxtuxtu,Tunisia,Low
tuxtuxtuxtuxtuxtuy,Tunisia,Low
mxtuxtuxtuxtuxtuxtu,Tunisia,Low
tuxtuxtuxtuxtuxtuxt,Tunisia,Low
mxtuxtuxtuxtutu,Tunisia,Low
ssssssnD,Tunisia,Low
tuxtuxtumxttuxtu,Tunisia,Low
tuxtuxtuxtustuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtmxtuxisy,Tunisia,Low
tuxtuxtuxt,Tunisia,Low
tutuxtuxtuxtuxtuxtutuxtuxtuxtuxtuxtuxtuxtuxtuxtuxatu,Tunisia,Low
pdmxtuxt,Tunisia,Low
Ctuxtuxtusa,Tunisia,Low
tuxtuxtuxtu,Tunisia,Low
sssspdHy,Tunisia,Low
ssssdsCxtuxtp,Tunisia,Low
Gxtuxtuxtuxtuxtuxtuxtuxtuxtuxtmxtuxtu,Tunisia,Low
tGxExExtuxtu,Tunisia,Low
tuxtuxtut,Tunisia,Low
mxtuxtuxtssstuxa,Tunisia,Low
tuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtuxtu,Tunisia,Low
sssssssC,Tunisia,Low
sssmxtuxtussssss,Tunisia,Low
Cxtuxtuxi,Tunisia,Low
ssssHsC,Tunisia,Low
tumxtuxtuxtuxtuxtu,Tunisia,Low
tuxtuxtuxtuxt,Tunisia,Low
sssssps,Tunisia,Low
GxaGmxE,Tunisia,Low
sssssspsssw,Tunisia,Low
tuCkmxtuxtuxtuxE,Tunisia,Low
ssGssy,Tunisia,Low
htuxtu,Tunisia,Low
tuCstuxtuxtuxtuxtuxtuxtuxtuxtuxtuxzmxtuxtuxtuxtuxtuxz,Tunisia,Low
CtutusspsGxtutsCxarv,Tunisia,Low
tuCtuxtuxtu,Tunisia,Low
ssssss,Tunisia,Low
Gxtuxtuxtuxtuxtus,Tunisia,Low
ssssHsssssy,Tunisia,Low
ssssssy,Tunisia,Low
tuxtuxtuxtuxtuxt,Tunisia,Low
tuxtuxtuxtus,Tunisia,Low
tuCtuC,Tunisia,Low
ssssysspsd,Tunisia,Low
tuxtutuxtuxtu,Tunisia,Low
ssssmtssssCxfs,Tunisia,Low
tuxtuxtuxi,Tunisia,Low
tumxtuxi,Tunisia,Low
sssssssssppCCxi,Tunisia,Low
htumxtuxi,Tunisia,Low
tuxtuxExis,Tunisia,Low
tuxtuxtn,Tunisia,Low
