index,timestamp,minute,second,team,player,play_pattern,type,possession,shot_type
1,00:00:00.000,0,0,Sweden,,Regular Play,Starting XI,1,
2,00:00:00.000,0,0,South Korea,,Regular Play,Starting XI,1,
3,00:00:00.000,0,0,Sweden,,Regular Play,Half Start,1,
4,00:00:00.000,0,0,South Korea,,Regular Play,Half Start,1,
5,00:00:00.693,0,0,South Korea,Jae-Sung Lee,From Kick Off,Pass,2,
6,00:00:02.093,0,2,South Korea,Young-Gwon Kim,From Kick Off,Ball Receipt*,2,
7,00:00:02.093,0,2,South Korea,Young-Gwon Kim,From Kick Off,Carry,2,
8,00:00:03.893,0,3,South Korea,Young-Gwon Kim,From Kick Off,Pass,2,
9,00:00:07.159,0,7,South Korea,Shin-Wook Kim,From Kick Off,Ball Receipt*,2,
10,00:00:07.173,0,7,South Korea,Shin-Wook Kim,From Kick Off,Pass,2,
11,00:00:07.173,0,7,Sweden,Ludwig Augustinsson,From Kick Off,Duel,2,
12,00:00:08.733,0,8,South Korea,Hee-Chan Hwang,From Kick Off,Ball Receipt*,2,
13,00:00:08.733,0,8,Sweden,Andreas Granqvist,From Kick Off,Pass,2,
14,00:00:10.533,0,10,Sweden,Ola Toivonen,From Kick Off,Ball Receipt*,2,
15,00:00:10.533,0,10,South Korea,Sung-Yeung Ki,From Kick Off,Pass,2,
16,00:00:12.493,0,12,South Korea,Yong Lee,From Kick Off,Ball Receipt*,2,
17,00:00:12.493,0,12,South Korea,Yong Lee,From Kick Off,Carry,2,
18,00:00:12.680,0,12,South Korea,Yong Lee,From Kick Off,Pass,2,
19,00:00:12.853,0,12,Sweden,Emil Forsberg,From Kick Off,Block,2,
20,00:00:24.693,0,24,South Korea,Yong Lee,From Throw In,Pass,3,
21,00:00:25.773,0,25,South Korea,Jae-Sung Lee,From Throw In,Ball Receipt*,3,
22,00:00:25.773,0,25,South Korea,Jae-Sung Lee,From Throw In,Carry,3,
23,00:00:25.773,0,25,Sweden,Ola Toivonen,From Throw In,Pressure,3,
24,00:00:27.320,0,27,South Korea,Jae-Sung Lee,From Throw In,Pass,3,
25,00:00:28.320,0,28,South Korea,Yong Lee,From Throw In,Ball Receipt*,3,
26,00:00:28.320,0,28,South Korea,Yong Lee,From Throw In,Carry,3,
27,00:00:30.453,0,30,South Korea,Yong Lee,From Throw In,Pass,3,
28,00:00:31.853,0,31,South Korea,Hyun-Soo Jang,From Throw In,Ball Receipt*,3,
29,00:00:31.853,0,31,South Korea,Hyun-Soo Jang,From Throw In,Carry,3,
30,00:00:33.533,0,33,South Korea,Hyun-Soo Jang,From Throw In,Pass,3,
31,00:00:35.693,0,35,South Korea,Young-Gwon Kim,From Throw In,Ball Receipt*,3,
32,00:00:35.693,0,35,South Korea,Young-Gwon Kim,From Throw In,Carry,3,
33,00:00:40.053,0,40,South Korea,Young-Gwon Kim,From Throw In,Pass,3,
34,00:00:41.413,0,41,South Korea,Sung-Yeung Ki,From Throw In,Ball Receipt*,3,
35,00:00:41.413,0,41,South Korea,Sung-Yeung Ki,From Throw In,Carry,3,
36,00:00:44.935,0,44,South Korea,Sung-Yeung Ki,From Throw In,Pass,3,
37,00:00:46.573,0,46,South Korea,Hyun-Soo Jang,From Throw In,Ball Receipt*,3,
38,00:00:46.573,0,46,South Korea,Hyun-Soo Jang,From Throw In,Carry,3,
39,00:00:47.892,0,47,South Korea,Hyun-Soo Jang,From Throw In,Pass,3,
40,00:00:49.132,0,49,South Korea,Yong Lee,From Throw In,Ball Receipt*,3,
41,00:00:49.132,0,49,South Korea,Yong Lee,From Throw In,Carry,3,
42,00:00:49.333,0,49,Sweden,Emil Forsberg,From Throw In,Pressure,3,
43,00:00:50.893,0,50,South Korea,Yong Lee,From Throw In,Pass,3,
44,00:00:52.013,0,52,South Korea,Hyun-Soo Jang,From Throw In,Ball Receipt*,3,
45,00:00:52.013,0,52,South Korea,Hyun-Soo Jang,From Throw In,Carry,3,
46,00:00:53.460,0,53,South Korea,Hyun-Soo Jang,From Throw In,Pass,3,
47,00:00:54.333,0,54,South Korea,Sung-Yeung Ki,From Throw In,Ball Receipt*,3,
48,00:00:54.333,0,54,South Korea,Sung-Yeung Ki,From Throw In,Carry,3,
49,00:00:55.093,0,55,Sweden,Marcus Berg,From Throw In,Pressure,3,
50,00:00:56.173,0,56,South Korea,Sung-Yeung Ki,From Throw In,Pass,3,
51,00:00:57.093,0,57,South Korea,Hyun-Soo Jang,From Throw In,Ball Receipt*,3,
52,00:00:57.093,0,57,South Korea,Hyun-Soo Jang,From Throw In,Carry,3,
53,00:00:57.373,0,57,South Korea,Hyun-Soo Jang,From Throw In,Pass,3,
54,00:00:59.133,0,59,South Korea,Hyun-Woo Cho,From Throw In,Ball Receipt*,3,
55,00:00:59.133,0,59,South Korea,Hyun-Woo Cho,From Throw In,Carry,3,
56,00:01:00.800,1,0,Sweden,Marcus Berg,From Throw In,Pressure,3,
57,00:01:00.933,1,0,South Korea,Hyun-Woo Cho,From Throw In,Pass,3,
58,00:01:04.653,1,4,Sweden,Ludwig Augustinsson,From Throw In,Pass,3,
59,00:01:06.999,1,6,Sweden,Albin Ekdal,From Throw In,Ball Receipt*,3,
60,00:01:07.040,1,7,Sweden,Albin Ekdal,From Throw In,Pass,3,
61,00:01:07.040,1,7,South Korea,Jae-Sung Lee,From Throw In,Duel,3,
62,00:01:08.800,1,8,Sweden,Emil Forsberg,From Throw In,Ball Receipt*,3,
63,00:01:08.800,1,8,Sweden,Emil Forsberg,From Throw In,Duel,3,
64,00:01:08.800,1,8,South Korea,Sung-Yeung Ki,From Throw In,Pass,3,
65,00:01:10.373,1,10,South Korea,Hee-Chan Hwang,From Throw In,Ball Receipt*,3,
66,00:01:10.373,1,10,South Korea,Hee-Chan Hwang,From Throw In,Carry,3,
67,00:01:12.573,1,12,Sweden,Albin Ekdal,From Throw In,Pressure,3,
68,00:01:16.893,1,16,South Korea,Hee-Chan Hwang,From Throw In,Pass,3,
69,00:01:17.080,1,17,South Korea,Jae-Sung Lee,From Throw In,Ball Receipt*,3,
70,00:01:17.080,1,17,Sweden,Emil Forsberg,From Throw In,Block,3,
71,00:01:17.773,1,17,South Korea,Jae-Sung Lee,From Throw In,Pressure,3,
72,00:01:17.893,1,17,Sweden,Sebastian Larsson,From Throw In,Ball Recovery,3,
73,00:01:17.893,1,17,Sweden,Sebastian Larsson,From Throw In,Carry,3,
74,00:01:18.373,1,18,South Korea,Hee-Chan Hwang,From Throw In,Pressure,3,
75,00:01:18.733,1,18,Sweden,Sebastian Larsson,From Throw In,Pass,3,
76,00:01:19.493,1,19,Sweden,Albin Ekdal,From Throw In,Ball Receipt*,3,
77,00:01:19.493,1,19,Sweden,Albin Ekdal,From Throw In,Carry,3,
78,00:01:20.253,1,20,South Korea,Yong Lee,From Throw In,Pressure,3,
79,00:01:20.893,1,20,South Korea,Yong Lee,From Throw In,Foul Committed,3,
80,00:01:20.893,1,20,Sweden,Albin Ekdal,From Throw In,Foul Won,3,
81,00:01:47.773,1,47,Sweden,Andreas Granqvist,From Free Kick,Pass,4,
82,00:01:51.000,1,51,Sweden,Ola Toivonen,From Free Kick,Ball Receipt*,4,
83,00:01:51.000,1,51,Sweden,Ola Toivonen,From Free Kick,Duel,4,
84,00:01:51.000,1,51,South Korea,Sung-Yeung Ki,Regular Play,Pass,5,
85,00:01:52.213,1,52,South Korea,Heung-Min Son,Regular Play,Ball Receipt*,5,
86,00:01:52.213,1,52,South Korea,Heung-Min Son,Regular Play,Carry,5,
87,00:01:52.693,1,52,Sweden,Mikael Lustig,Regular Play,Pressure,5,
88,00:01:55.333,1,55,South Korea,Heung-Min Son,Regular Play,Pass,5,
89,00:01:56.893,1,56,South Korea,Young-Gwon Kim,Regular Play,Ball Receipt*,5,
90,00:01:56.893,1,56,South Korea,Young-Gwon Kim,Regular Play,Carry,5,
91,00:01:58.253,1,58,South Korea,Young-Gwon Kim,Regular Play,Pass,5,
92,00:02:00.919,2,0,South Korea,Ja-Cheol Koo,Regular Play,Ball Receipt*,5,
93,00:02:00.920,2,0,South Korea,Ja-Cheol Koo,Regular Play,Pass,5,
94,00:02:03.120,2,3,South Korea,Shin-Wook Kim,Regular Play,Ball Receipt*,5,
95,00:02:03.120,2,3,Sweden,Pontus Jansson,Regular Play,Pass,6,
96,00:02:04.093,2,4,Sweden,Sebastian Larsson,Regular Play,Ball Receipt*,6,
97,00:02:04.093,2,4,Sweden,Sebastian Larsson,Regular Play,Carry,6,
98,00:02:04.253,2,4,South Korea,Ja-Cheol Koo,Regular Play,Pressure,6,
99,00:02:05.040,2,5,Sweden,Sebastian Larsson,Regular Play,Pass,6,
100,00:02:05.160,2,5,South Korea,Ja-Cheol Koo,Regular Play,Block,6,
101,00:02:15.640,2,15,Sweden,Mikael Lustig,From Throw In,Pass,7,
102,00:02:18.293,2,18,Sweden,Robin Olsen,From Throw In,Ball Receipt*,7,
103,00:02:18.293,2,18,Sweden,Robin Olsen,From Throw In,Carry,7,
104,00:02:30.693,2,30,Sweden,Robin Olsen,From Throw In,Pass,7,
105,00:02:34.079,2,34,Sweden,Ola Toivonen,From Throw In,Ball Receipt*,7,
106,00:02:34.160,2,34,Sweden,Ola Toivonen,From Throw In,Pass,7,
107,00:02:36.333,2,36,Sweden,Viktor Claesson,From Throw In,Ball Receipt*,7,
108,00:02:36.333,2,36,South Korea,Sung-Yeung Ki,Regular Play,Ball Recovery,8,
109,00:02:36.333,2,36,South Korea,Sung-Yeung Ki,Regular Play,Carry,8,
110,00:02:37.853,2,37,Sweden,Viktor Claesson,Regular Play,Foul Committed,8,
111,00:02:37.853,2,37,South Korea,Sung-Yeung Ki,Regular Play,Foul Won,8,
112,00:03:07.773,3,7,South Korea,Hyun-Woo Cho,From Free Kick,Pass,9,
113,00:03:11.319,3,11,South Korea,Shin-Wook Kim,From Free Kick,Ball Receipt*,9,
114,00:03:11.320,3,11,South Korea,Shin-Wook Kim,From Free Kick,Pass,9,
115,00:03:11.320,3,11,Sweden,Albin Ekdal,From Free Kick,Duel,9,
116,00:03:14.533,3,14,South Korea,Ja-Cheol Koo,From Free Kick,Ball Receipt*,9,
117,00:03:14.533,3,14,Sweden,Andreas Granqvist,From Free Kick,Ball Recovery,9,
118,00:03:14.533,3,14,Sweden,Andreas Granqvist,From Free Kick,Carry,9,
119,00:03:14.853,3,14,South Korea,Ja-Cheol Koo,From Free Kick,Pressure,9,
120,00:03:14.933,3,14,Sweden,Andreas Granqvist,From Free Kick,Pass,9,
121,00:03:16.053,3,16,Sweden,Robin Olsen,From Free Kick,Ball Receipt*,9,
122,00:03:16.053,3,16,Sweden,Robin Olsen,From Free Kick,Carry,9,
123,00:03:16.320,3,16,Sweden,Robin Olsen,From Free Kick,Pass,9,
124,00:03:18.733,3,18,Sweden,Marcus Berg,From Free Kick,Ball Receipt*,9,
125,00:03:18.733,3,18,South Korea,Hyun-Soo Jang,From Free Kick,Pass,9,
126,00:03:19.960,3,19,Sweden,Sebastian Larsson,From Free Kick,Pass,9,
127,00:03:23.613,3,23,Sweden,Viktor Claesson,From Free Kick,Ball Receipt*,9,
128,00:03:23.613,3,23,South Korea,Joo-Ho Park,From Free Kick,Pass,9,
129,00:03:24.973,3,24,South Korea,Young-Gwon Kim,From Free Kick,Ball Receipt*,9,
130,00:03:24.973,3,24,South Korea,Young-Gwon Kim,From Free Kick,Carry,9,
131,00:03:27.973,3,27,South Korea,Young-Gwon Kim,From Free Kick,Pass,9,
132,00:03:29.492,3,29,South Korea,Hyun-Soo Jang,From Free Kick,Ball Receipt*,9,
133,00:03:29.492,3,29,South Korea,Hyun-Soo Jang,From Free Kick,Carry,9,
134,00:03:30.653,3,30,South Korea,Hyun-Soo Jang,From Free Kick,Pass,9,
135,00:03:32.092,3,32,South Korea,Yong Lee,From Free Kick,Ball Receipt*,9,
136,00:03:32.092,3,32,South Korea,Yong Lee,From Free Kick,Carry,9,
137,00:03:34.693,3,34,South Korea,Yong Lee,From Free Kick,Pass,9,
138,00:03:35.893,3,35,Sweden,Ludwig Augustinsson,From Free Kick,Pressure,9,
139,00:03:36.133,3,36,South Korea,Hee-Chan Hwang,From Free Kick,Ball Receipt*,9,
140,00:03:36.133,3,36,South Korea,Hee-Chan Hwang,From Free Kick,Carry,9,
141,00:03:37.853,3,37,Sweden,Ludwig Augustinsson,From Free Kick,Dribbled Past,9,
142,00:03:37.853,3,37,South Korea,Hee-Chan Hwang,From Free Kick,Dribble,9,
143,00:03:37.853,3,37,South Korea,Hee-Chan Hwang,From Free Kick,Carry,9,
144,00:03:38.853,3,38,Sweden,Ludwig Augustinsson,From Free Kick,Foul Committed,9,
145,00:03:38.853,3,38,South Korea,Hee-Chan Hwang,From Free Kick,Foul Won,9,
146,00:03:38.853,3,38,South Korea,Hee-Chan Hwang,From Free Kick,Carry,9,
147,00:03:39.773,3,39,Sweden,Andreas Granqvist,From Free Kick,Pressure,9,
148,00:03:42.373,3,42,South Korea,Hee-Chan Hwang,From Free Kick,Dispossessed,9,
149,00:03:42.373,3,42,Sweden,Andreas Granqvist,From Free Kick,Duel,9,
150,00:03:43.453,3,43,South Korea,Hee-Chan Hwang,From Free Kick,Ball Recovery,9,
151,00:03:43.453,3,43,South Korea,Hee-Chan Hwang,From Free Kick,Carry,9,
152,00:03:43.973,3,43,Sweden,Ludwig Augustinsson,From Free Kick,Pressure,9,
153,00:03:44.880,3,44,South Korea,Hee-Chan Hwang,From Free Kick,Dribble,9,
154,00:03:44.880,3,44,Sweden,Ludwig Augustinsson,From Free Kick,Duel,9,
155,00:04:11.253,4,11,South Korea,Jae-Sung Lee,From Corner,Pass,10,
156,00:04:13.093,4,13,South Korea,Young-Gwon Kim,From Corner,Ball Receipt*,10,
157,00:04:13.093,4,13,Sweden,Robin Olsen,From Corner,Goal Keeper,10,
158,00:04:17.093,4,17,Sweden,Mikael Lustig,From Corner,Ball Recovery,10,
159,00:04:33.960,4,33,South Korea,,Regular Play,Camera On,11,
160,00:04:35.933,4,35,Sweden,Viktor Claesson,Regular Play,Foul Committed,11,
161,00:04:35.933,4,35,South Korea,Joo-Ho Park,Regular Play,Foul Won,11,
162,00:05:10.560,5,10,South Korea,Heung-Min Son,From Free Kick,Pass,12,
163,00:05:11.773,5,11,South Korea,Shin-Wook Kim,From Free Kick,Foul Committed,12,
164,00:05:11.773,5,11,Sweden,Sebastian Larsson,From Free Kick,Foul Won,12,
165,00:05:41.320,5,41,Sweden,Robin Olsen,From Free Kick,Pass,13,
166,00:05:44.840,5,44,Sweden,Ola Toivonen,From Free Kick,Ball Receipt*,13,
167,00:05:44.880,5,44,South Korea,Sung-Yeung Ki,From Free Kick,Duel,13,
168,00:05:44.880,5,44,Sweden,Ola Toivonen,From Free Kick,Pass,13,
169,00:05:45.733,5,45,South Korea,Joo-Ho Park,From Free Kick,Pressure,13,
170,00:05:48.253,5,48,Sweden,Viktor Claesson,From Free Kick,Ball Receipt*,13,
171,00:06:17.360,6,17,South Korea,Hyun-Woo Cho,From Goal Kick,Pass,14,
172,00:06:21.160,6,21,South Korea,Shin-Wook Kim,From Goal Kick,Ball Receipt*,14,
173,00:06:21.160,6,21,Sweden,Pontus Jansson,From Goal Kick,Duel,14,
174,00:06:21.160,6,21,South Korea,Shin-Wook Kim,From Goal Kick,Pass,14,
175,00:06:22.520,6,22,South Korea,Hee-Chan Hwang,From Goal Kick,Ball Receipt*,14,
176,00:06:22.520,6,22,South Korea,Hee-Chan Hwang,From Goal Kick,Pass,14,
177,00:06:25.453,6,25,South Korea,Heung-Min Son,From Goal Kick,Ball Receipt*,14,
178,00:06:25.453,6,25,Sweden,Mikael Lustig,From Goal Kick,Clearance,14,
179,00:06:35.240,6,35,South Korea,Joo-Ho Park,From Throw In,Pass,15,
180,00:06:36.050,6,36,South Korea,Heung-Min Son,From Throw In,Ball Receipt*,15,
181,00:06:36.050,6,36,South Korea,Heung-Min Son,From Throw In,Pass,15,
182,00:06:36.253,6,36,Sweden,Viktor Claesson,From Throw In,Pressure,15,
183,00:06:37.773,6,37,South Korea,Joo-Ho Park,From Throw In,Ball Receipt*,15,
184,00:06:37.773,6,37,South Korea,Joo-Ho Park,From Throw In,Carry,15,
185,00:06:40.160,6,40,South Korea,Joo-Ho Park,From Throw In,Pass,15,
186,00:06:40.360,6,40,South Korea,Heung-Min Son,From Throw In,Ball Receipt*,15,
187,00:06:40.360,6,40,Sweden,Viktor Claesson,From Throw In,Block,15,
188,00:06:54.933,6,54,South Korea,Joo-Ho Park,From Throw In,Pass,16,
189,00:06:56.413,6,56,Sweden,Viktor Claesson,From Throw In,Pressure,16,
190,00:06:56.572,6,56,South Korea,Ja-Cheol Koo,From Throw In,Ball Receipt*,16,
191,00:06:56.572,6,56,South Korea,Ja-Cheol Koo,From Throw In,Carry,16,
192,00:06:57.452,6,57,South Korea,Ja-Cheol Koo,From Throw In,Pass,16,
193,00:06:58.292,6,58,South Korea,Joo-Ho Park,From Throw In,Ball Receipt*,16,
194,00:06:58.292,6,58,South Korea,Joo-Ho Park,From Throw In,Carry,16,
195,00:06:58.893,6,58,South Korea,Joo-Ho Park,From Throw In,Pass,16,
196,00:07:02.533,7,2,Sweden,Ludwig Augustinsson,From Throw In,Pressure,16,
197,00:07:03.213,7,3,South Korea,Shin-Wook Kim,From Throw In,Ball Receipt*,16,
198,00:07:03.213,7,3,South Korea,Shin-Wook Kim,From Throw In,Carry,16,
199,00:07:04.773,7,4,South Korea,Shin-Wook Kim,From Throw In,Pass,16,
200,00:07:06.693,7,6,South Korea,Yong Lee,From Throw In,Ball Receipt*,16,
201,00:07:06.693,7,6,South Korea,Yong Lee,From Throw In,Carry,16,
202,00:07:07.253,7,7,Sweden,Emil Forsberg,From Throw In,Pressure,16,
203,00:07:09.053,7,9,South Korea,Yong Lee,From Throw In,Pass,16,
204,00:07:11.653,7,11,South Korea,Heung-Min Son,From Throw In,Ball Receipt*,16,
205,00:07:11.653,7,11,Sweden,Viktor Claesson,From Throw In,Clearance,16,
206,00:07:31.453,7,31,South Korea,Joo-Ho Park,From Throw In,Pass,17,
207,00:07:32.732,7,32,South Korea,Ja-Cheol Koo,From Throw In,Ball Receipt*,17,
208,00:07:32.732,7,32,South Korea,Ja-Cheol Koo,From Throw In,Carry,17,
209,00:07:33.253,7,33,Sweden,Mikael Lustig,From Throw In,Pressure,17,
210,00:07:34.853,7,34,South Korea,Ja-Cheol Koo,From Throw In,Dispossessed,17,
211,00:07:34.853,7,34,Sweden,Mikael Lustig,Regular Play,Duel,18,
212,00:07:55.733,7,55,Sweden,Mikael Lustig,From Throw In,Pass,19,
213,00:07:57.359,7,57,Sweden,Ola Toivonen,From Throw In,Ball Receipt*,19,
214,00:07:57.360,7,57,Sweden,Ola Toivonen,From Throw In,Pass,19,
215,00:07:58.720,7,58,Sweden,Marcus Berg,From Throw In,Ball Receipt*,19,
216,00:07:58.720,7,58,South Korea,Young-Gwon Kim,From Throw In,Pass,19,
217,00:08:00.560,8,0,South Korea,Shin-Wook Kim,From Throw In,Ball Receipt*,19,
218,00:08:00.560,8,0,South Korea,Shin-Wook Kim,From Throw In,Duel,19,
219,00:08:00.560,8,0,Sweden,Pontus Jansson,From Throw In,Pass,19,
220,00:08:02.133,8,2,Sweden,Viktor Claesson,From Throw In,Ball Receipt*,19,
221,00:08:02.240,8,2,Sweden,Viktor Claesson,From Throw In,Pass,19,
222,00:08:04.693,8,4,Sweden,Marcus Berg,From Throw In,Ball Receipt*,19,
223,00:08:04.693,8,4,South Korea,Young-Gwon Kim,From Throw In,Pass,19,
224,00:08:06.480,8,6,South Korea,Shin-Wook Kim,From Throw In,Ball Receipt*,19,
225,00:08:06.480,8,6,Sweden,Albin Ekdal,From Throw In,Pass,19,
226,00:08:07.493,8,7,Sweden,Viktor Claesson,From Throw In,Ball Receipt*,19,
227,00:08:07.493,8,7,Sweden,Viktor Claesson,From Throw In,Carry,19,
228,00:08:08.613,8,8,South Korea,Heung-Min Son,From Throw In,Pressure,19,
229,00:08:09.253,8,9,Sweden,Viktor Claesson,From Throw In,Pass,19,
230,00:08:10.132,8,10,Sweden,Marcus Berg,From Throw In,Ball Receipt*,19,
231,00:08:10.132,8,10,Sweden,Marcus Berg,From Throw In,Carry,19,
232,00:08:10.213,8,10,South Korea,Young-Gwon Kim,From Throw In,Pressure,19,
233,00:08:10.520,8,10,Sweden,Marcus Berg,From Throw In,Pass,19,
234,00:08:13.053,8,13,Sweden,Ola Toivonen,From Throw In,Ball Receipt*,19,
235,00:08:13.053,8,13,South Korea,Hyun-Soo Jang,Regular Play,Pass,20,
236,00:08:15.533,8,15,South Korea,Hyun-Woo Cho,Regular Play,Ball Receipt*,20,
237,00:08:15.533,8,15,South Korea,Hyun-Woo Cho,Regular Play,Carry,20,
238,00:08:17.295,8,17,South Korea,Hyun-Woo Cho,Regular Play,Pass,20,
239,00:08:19.213,8,19,South Korea,Yong Lee,Regular Play,Ball Receipt*,20,
240,00:08:19.213,8,19,South Korea,Yong Lee,Regular Play,Carry,20,
241,00:08:19.335,8,19,Sweden,Emil Forsberg,Regular Play,Pressure,20,
242,00:08:20.333,8,20,South Korea,Yong Lee,Regular Play,Dispossessed,20,
243,00:08:20.333,8,20,Sweden,Emil Forsberg,Regular Play,Duel,20,
244,00:08:37.160,8,37,South Korea,Yong Lee,From Throw In,Pass,21,
245,00:08:38.373,8,38,South Korea,Jae-Sung Lee,From Throw In,Ball Receipt*,21,
246,00:08:38.373,8,38,South Korea,Jae-Sung Lee,From Throw In,Carry,21,
247,00:08:38.813,8,38,Sweden,Albin Ekdal,From Throw In,Pressure,21,
248,00:08:39.240,8,39,South Korea,Jae-Sung Lee,From Throw In,Dispossessed,21,
249,00:08:39.240,8,39,Sweden,Albin Ekdal,From Throw In,Duel,21,
250,00:08:40.573,8,40,South Korea,Sung-Yeung Ki,From Throw In,Ball Recovery,21,
251,00:08:40.573,8,40,South Korea,Sung-Yeung Ki,From Throw In,Carry,21,
252,00:08:41.293,8,41,Sweden,Albin Ekdal,From Throw In,Pressure,21,
253,00:08:41.533,8,41,South Korea,Sung-Yeung Ki,From Throw In,Pass,21,
254,00:08:42.653,8,42,South Korea,Yong Lee,From Throw In,Ball Receipt*,21,
255,00:08:42.653,8,42,South Korea,Yong Lee,From Throw In,Carry,21,
256,00:08:43.853,8,43,South Korea,Yong Lee,From Throw In,Pass,21,
257,00:08:44.773,8,44,Sweden,Marcus Berg,From Throw In,Pressure,21,
258,00:08:44.812,8,44,South Korea,Hyun-Soo Jang,From Throw In,Ball Receipt*,21,
259,00:08:44.812,8,44,South Korea,Hyun-Soo Jang,From Throw In,Carry,21,
260,00:08:44.813,8,44,South Korea,Hyun-Soo Jang,From Throw In,Pass,21,
261,00:08:48.373,8,48,Sweden,Ludwig Augustinsson,From Throw In,Pass,21,
262,00:08:50.733,8,50,Sweden,Emil Forsberg,From Throw In,Ball Receipt*,21,
263,00:08:50.733,8,50,South Korea,Hee-Chan Hwang,From Throw In,Ball Recovery,21,
264,00:08:50.733,8,50,South Korea,Hee-Chan Hwang,From Throw In,Carry,21,
265,00:08:52.893,8,52,Sweden,Emil Forsberg,From Throw In,Foul Committed,21,
266,00:08:52.893,8,52,South Korea,Hee-Chan Hwang,From Throw In,Foul Won,21,
