index,timestamp,minute,second,team,player,play_pattern,type,possession,shot_type
1,00:00:00.000,0,0,Saudi Arabia,,Regular Play,Starting XI,1,
2,00:00:00.000,0,0,Egypt,,Regular Play,Starting XI,1,
3,00:00:00.000,0,0,Egypt,,Regular Play,Half Start,1,
4,00:00:00.000,0,0,Saudi Arabia,,Regular Play,Half Start,1,
5,00:00:00.100,0,0,Egypt,Marwan Mohsen,From Kick Off,Pass,2,
6,00:00:01.033,0,1,Egypt,Mohamed Naser Elsayed Elneny,From Kick Off,Ball Receipt*,2,
7,00:00:01.033,0,1,Egypt,Mohamed Naser Elsayed Elneny,From Kick Off,Carry,2,
8,00:00:01.200,0,1,Egypt,Mohamed Naser Elsayed Elneny,From Kick Off,Pass,2,
9,00:00:02.653,0,2,Egypt,Ahmed Fathy Abdel Meneim Ibrahim,From Kick Off,Ball Receipt*,2,
10,00:00:02.653,0,2,Egypt,Ahmed Fathy Abdel Meneim Ibrahim,From Kick Off,Carry,2,
11,00:00:03.373,0,3,Saudi Arabia,Salem Mohammed Al Dawsari,From Kick Off,Pressure,2,
12,00:00:03.800,0,3,Egypt,Ahmed Fathy Abdel Meneim Ibrahim,From Kick Off,Pass,2,
13,00:00:05.800,0,5,Egypt,Ali Gabr,From Kick Off,Ball Receipt*,2,
14,00:00:05.800,0,5,Egypt,Ali Gabr,From Kick Off,Pass,2,
15,00:00:07.800,0,7,Egypt,Ahmed Hegazi,From Kick Off,Ball Receipt*,2,
16,00:00:07.800,0,7,Egypt,Ahmed Hegazi,From Kick Off,Carry,2,
17,00:00:09.320,0,9,Egypt,Ahmed Hegazi,From Kick Off,Pass,2,
18,00:00:10.920,0,10,Egypt,Mohamed Abdul Shafy Sayed Abouezeid,From Kick Off,Ball Receipt*,2,
19,00:00:10.920,0,10,Egypt,Mohamed Abdul Shafy Sayed Abouezeid,From Kick Off,Carry,2,
20,00:00:11.453,0,11,Saudi Arabia,Hattan Babhir,From Kick Off,Pressure,2,
21,00:00:11.720,0,11,Egypt,Mohamed Abdul Shafy Sayed Abouezeid,From Kick Off,Pass,2,
22,00:00:12.920,0,12,Egypt,Ahmed Hegazi,From Kick Off,Ball Receipt*,2,
23,00:00:12.920,0,12,Egypt,Ahmed Hegazi,From Kick Off,Carry,2,
24,00:00:13.720,0,13,Egypt,Ahmed Hegazi,From Kick Off,Pass,2,
25,00:00:14.213,0,14,Saudi Arabia,Fahad Mosaed Al Muwallad Al Harbi,From Kick Off,Pressure,2,
26,00:00:15.720,0,15,Egypt,Ali Gabr,From Kick Off,Ball Receipt*,2,
27,00:00:15.720,0,15,Egypt,Ali Gabr,From Kick Off,Carry,2,
