index,timestamp,minute,second,team,player,play_pattern,type,possession,shot_type
1,00:00:00.000,0,0,Denmark,,Regular Play,Starting XI,1,
2,00:00:00.000,0,0,France,,Regular Play,Starting XI,1,
3,00:00:00.000,0,0,France,,Regular Play,Half Start,1,
4,00:00:00.000,0,0,Denmark,,Regular Play,Half Start,1,
5,00:00:00.840,0,0,France,Antoine Griezmann,From Kick Off,Pass,2,
6,00:00:01.227,0,1,Denmark,Andreas Evald Cornelius,From Kick Off,Pressure,2,
7,00:00:02.440,0,2,France,"Steven N""Kemboanza Mike Christopher Nzonzi",From Kick Off,Ball Receipt*,2,
8,00:00:02.440,0,2,France,"Steven N""Kemboanza Mike Christopher Nzonzi",From Kick Off,Carry,2,
9,00:00:03.320,0,3,France,"Steven N""Kemboanza Mike Christopher Nzonzi",From Kick Off,Pass,2,
10,00:00:04.480,0,4,France,Raphaël Varane,From Kick Off,Ball Receipt*,2,
11,00:00:04.480,0,4,France,Raphaël Varane,From Kick Off,Carry,2,
12,00:00:05.600,0,5,France,Raphaël Varane,From Kick Off,Pass,2,
13,00:00:06.879,0,6,France,Djibril Sidibé,From Kick Off,Ball Receipt*,2,
14,00:00:06.879,0,6,France,Djibril Sidibé,From Kick Off,Carry,2,
15,00:00:06.960,0,6,France,Djibril Sidibé,From Kick Off,Pass,2,
16,00:00:07.027,0,7,Denmark,Pione Sisto Ifolo Emirmija,From Kick Off,Pressure,2,
17,00:00:08.360,0,8,France,Raphaël Varane,From Kick Off,Ball Receipt*,2,
18,00:00:08.360,0,8,France,Raphaël Varane,From Kick Off,Carry,2,
19,00:00:10.000,0,10,France,Raphaël Varane,From Kick Off,Pass,2,
20,00:00:11.799,0,11,France,Presnel Kimpembe,From Kick Off,Ball Receipt*,2,
21,00:00:11.799,0,11,France,Presnel Kimpembe,From Kick Off,Carry,2,
22,00:00:15.117,0,15,France,Presnel Kimpembe,From Kick Off,Pass,2,
23,00:00:17.040,0,17,France,Raphaël Varane,From Kick Off,Ball Receipt*,2,
24,00:00:17.040,0,17,France,Raphaël Varane,From Kick Off,Carry,2,
25,00:00:19.987,0,19,Denmark,Andreas Evald Cornelius,From Kick Off,Pressure,2,
26,00:00:20.920,0,20,France,Raphaël Varane,From Kick Off,Pass,2,
27,00:00:22.079,0,22,France,Djibril Sidibé,From Kick Off,Ball Receipt*,2,
28,00:00:22.079,0,22,France,Djibril Sidibé,From Kick Off,Carry,2,
29,00:00:24.640,0,24,France,Djibril Sidibé,From Kick Off,Pass,2,
30,00:00:25.999,0,25,France,Raphaël Varane,From Kick Off,Ball Receipt*,2,
31,00:00:25.999,0,25,France,Raphaël Varane,From Kick Off,Carry,2,
32,00:00:27.000,0,27,France,Raphaël Varane,From Kick Off,Pass,2,
33,00:00:28.400,0,28,France,Presnel Kimpembe,From Kick Off,Ball Receipt*,2,
34,00:00:28.400,0,28,France,Presnel Kimpembe,From Kick Off,Carry,2,
35,00:00:29.600,0,29,France,Presnel Kimpembe,From Kick Off,Pass,2,
36,00:00:30.920,0,30,France,"Steven N""Kemboanza Mike Christopher Nzonzi",From Kick Off,Ball Receipt*,2,
37,00:00:30.920,0,30,France,"Steven N""Kemboanza Mike Christopher Nzonzi",From Kick Off,Pass,2,
38,00:00:31.347,0,31,Denmark,Andreas Evald Cornelius,From Kick Off,Pressure,2,
39,00:00:31.960,0,31,France,Presnel Kimpembe,From Kick Off,Ball Receipt*,2,
40,00:00:31.960,0,31,France,Presnel Kimpembe,From Kick Off,Carry,2,
41,00:00:34.640,0,34,France,Presnel Kimpembe,From Kick Off,Pass,2,
42,00:00:36.000,0,36,France,Lucas Hernández Pi,From Kick Off,Ball Receipt*,2,
43,00:00:36.000,0,36,France,Lucas Hernández Pi,From Kick Off,Carry,2,
44,00:00:36.227,0,36,Denmark,Martin Braithwaite Christensen,From Kick Off,Pressure,2,
45,00:00:37.680,0,37,France,Lucas Hernández Pi,From Kick Off,Pass,2,
46,00:00:38.399,0,38,France,Thomas Lemar,From Kick Off,Ball Receipt*,2,
47,00:00:38.399,0,38,France,Thomas Lemar,From Kick Off,Carry,2,
48,00:00:39.387,0,39,Denmark,Christian Dannemann Eriksen,From Kick Off,Pressure,2,
49,00:00:40.280,0,40,France,Thomas Lemar,From Kick Off,Pass,2,
50,00:00:41.320,0,41,France,"N""Golo Kanté",From Kick Off,Ball Receipt*,2,
51,00:00:41.320,0,41,France,"N""Golo Kanté",From Kick Off,Carry,2,
52,00:00:44.522,0,44,France,"N""Golo Kanté",From Kick Off,Pass,2,
53,00:00:46.400,0,46,France,Djibril Sidibé,From Kick Off,Ball Receipt*,2,
54,00:00:46.400,0,46,France,Djibril Sidibé,From Kick Off,Carry,2,
55,00:00:46.720,0,46,France,Djibril Sidibé,From Kick Off,Pass,2,
56,00:00:47.800,0,47,France,Ousmane Dembélé,From Kick Off,Ball Receipt*,2,
57,00:00:47.800,0,47,France,Ousmane Dembélé,From Kick Off,Carry,2,
58,00:00:47.960,0,47,France,Ousmane Dembélé,From Kick Off,Pass,2,
