index,timestamp,minute,second,team,player,play_pattern,type,possession,shot_type,,,player,play_pattern,type,combination,Area on the pitch 
45,02:12.5,2,12,Denmark,Mathias Jattah-Njie Jørgensen,Regular Play,Carry,4,,,,Mathias Jattah-Njie Jørgensen,Regular Play,Carry,,
46,02:13.2,2,13,Denmark,Mathias Jattah-Njie Jørgensen,Regular Play,Pass,4,,,,Mathias Jattah-Njie Jørgensen,Regular Play,Pass,,
47,02:13.6,2,13,Croatia,Ivan Rakitić,Regular Play,Pressure,4,,,,Ivan Rakitić,Regular Play,Pressure,,
48,02:14.1,2,14,Denmark,Andreas Christensen,Regular Play,Ball Receipt*,4,,,,Andreas Christensen,Regular Play,Ball Receipt*,,
49,02:14.1,2,14,Denmark,Andreas Christensen,Regular Play,Carry,4,,,,Andreas Christensen,Regular Play,Carry,,
50,02:14.3,2,14,Denmark,Andreas Christensen,Regular Play,Pass,4,,,,Andreas Christensen,Regular Play,Pass,,
51,02:15.7,2,15,Denmark,Simon Thorup Kjær,Regular Play,Ball Receipt*,4,,,,Simon Thorup Kjær,Regular Play,Ball Receipt*,,
52,02:15.7,2,15,Denmark,Simon Thorup Kjær,Regular Play,Carry,4,,,,Simon Thorup Kjær,Regular Play,Carry,,
53,02:16.4,2,16,Croatia,Ivan Rakitić,Regular Play,Pressure,4,,,,Ivan Rakitić,Regular Play,Pressure,,
54,02:17.0,2,17,Denmark,Simon Thorup Kjær,Regular Play,Pass,4,,,,Simon Thorup Kjær,Regular Play,Pass,,
55,02:18.1,2,18,Denmark,Henrik Dalsgaard,Regular Play,Ball Receipt*,4,,,,Henrik Dalsgaard,Regular Play,Ball Receipt*,,
56,02:27.4,2,27,Croatia,Ivan Strinić,From Throw In,Pass,5,,,,Ivan Strinić,From Throw In,Pass,,
57,02:28.5,2,28,Croatia,Ivan Rakitić,From Throw In,Ball Receipt*,5,,,,Ivan Rakitić,From Throw In,Ball Receipt*,,
58,02:28.5,2,28,Croatia,Ivan Rakitić,From Throw In,Pass,5,,,,Ivan Rakitić,From Throw In,Pass,,
59,02:29.0,2,28,Denmark,Henrik Dalsgaard,From Throw In,Pressure,5,,,,Henrik Dalsgaard,From Throw In,Pressure,,
60,02:29.3,2,29,Croatia,Ivan Perišić,From Throw In,Ball Receipt*,5,,,,Ivan Perišić,From Throw In,Ball Receipt*,,
61,02:29.3,2,29,Croatia,Ivan Perišić,From Throw In,Carry,5,,,,Ivan Perišić,From Throw In,Carry,,
62,02:29.9,2,29,Croatia,Ivan Perišić,From Throw In,Pass,5,,,,Ivan Perišić,From Throw In,Pass,,
63,02:30.2,2,30,Denmark,Simon Thorup Kjær,From Throw In,Pressure,5,,,,Simon Thorup Kjær,From Throw In,Pressure,,
64,02:30.6,2,30,Croatia,Mario Mandžukić,From Throw In,Ball Receipt*,5,,,,Mario Mandžukić,From Throw In,Ball Receipt*,,
65,02:30.6,2,30,Croatia,Mario Mandžukić,From Throw In,Carry,5,,,,Mario Mandžukić,From Throw In,Carry,,
66,02:32.0,2,31,Croatia,Mario Mandžukić,From Throw In,Miscontrol,5,,,,Mario Mandžukić,From Throw In,Miscontrol,,
67,02:32.5,2,32,Denmark,Andreas Christensen,From Throw In,Pass,5,,,,Andreas Christensen,From Throw In,Pass,,
68,02:36.0,2,36,Denmark,Andreas Evald Cornelius,From Throw In,Ball Receipt*,5,,,,Andreas Evald Cornelius,From Throw In,Ball Receipt*,,
69,02:36.0,2,36,Croatia,Marcelo Brozović,From Throw In,Pass,5,,,,Marcelo Brozović,From Throw In,Pass,,
70,02:38.4,2,38,Denmark,Jonas Knudsen,From Throw In,Pass,5,,,,Jonas Knudsen,From Throw In,Pass,,
71,02:44.7,2,44,Denmark,Andreas Evald Cornelius,From Throw In,Ball Receipt*,5,,,,Andreas Evald Cornelius,From Throw In,Ball Receipt*,,
72,02:44.7,2,44,Croatia,Šime Vrsaljko,From Throw In,Pass,5,,,,Šime Vrsaljko,From Throw In,Pass,,
73,02:46.1,2,46,Denmark,Andreas Evald Cornelius,From Throw In,Pressure,5,,,,Andreas Evald Cornelius,From Throw In,Pressure,,
74,02:46.6,2,46,Croatia,Danijel Subašić,From Throw In,Ball Receipt*,5,,,,Danijel Subašić,From Throw In,Ball Receipt*,,
75,02:46.6,2,46,Croatia,Danijel Subašić,From Throw In,Pass,5,,,,Danijel Subašić,From Throw In,Pass,,
76,02:50.7,2,50,Croatia,Ante Rebić,From Throw In,Ball Receipt*,5,,,,Ante Rebić,From Throw In,Ball Receipt*,,
77,02:50.7,2,50,Denmark,Jonas Knudsen,Regular Play,Pass,6,,,,Jonas Knudsen,Regular Play,Pass,,
78,02:53.3,2,53,Denmark,Mathias Jattah-Njie Jørgensen,Regular Play,Ball Receipt*,6,,,,Mathias Jattah-Njie Jørgensen,Regular Play,Ball Receipt*,,
79,02:53.3,2,53,Denmark,Mathias Jattah-Njie Jørgensen,Regular Play,Carry,6,,,,Mathias Jattah-Njie Jørgensen,Regular Play,Carry,,
80,02:54.7,2,54,Denmark,Mathias Jattah-Njie Jørgensen,Regular Play,Pass,6,,,,Mathias Jattah-Njie Jørgensen,Regular Play,Pass,,
81,02:57.0,2,57,Denmark,Kasper Schmeichel,Regular Play,Ball Receipt*,6,,,,Kasper Schmeichel,Regular Play,Ball Receipt*,,
82,02:57.0,2,57,Denmark,Kasper Schmeichel,Regular Play,Carry,6,,,,Kasper Schmeichel,Regular Play,Carry,,
83,02:57.3,2,57,Denmark,Kasper Schmeichel,Regular Play,Pass,6,,,,Kasper Schmeichel,Regular Play,Pass,,
84,03:00.6,3,0,Denmark,Martin Braithwaite Christensen,Regular Play,Ball Receipt*,6,,,,Martin Braithwaite Christensen,Regular Play,Ball Receipt*,,
85,03:00.6,3,0,Denmark,Martin Braithwaite Christensen,Regular Play,Carry,6,,,,Martin Braithwaite Christensen,Regular Play,Carry,,
86,03:00.7,3,0,Denmark,Martin Braithwaite Christensen,Regular Play,Pass,6,,,,Martin Braithwaite Christensen,Regular Play,Pass,,
87,03:02.4,3,2,Denmark,Jonas Knudsen,Regular Play,Ball Receipt*,6,,,,Jonas Knudsen,Regular Play,Ball Receipt*,,
88,03:02.4,3,2,Denmark,Jonas Knudsen,Regular Play,Carry,6,,,,Jonas Knudsen,Regular Play,Carry,,
89,03:02.5,3,2,Denmark,Jonas Knudsen,Regular Play,Pass,6,,,,Jonas Knudsen,Regular Play,Pass,,
90,03:09.8,3,9,Croatia,Šime Vrsaljko,From Throw In,Pass,7,,,,Šime Vrsaljko,From Throw In,Pass,,
91,03:11.5,3,11,Croatia,Dejan Lovren,From Throw In,Ball Receipt*,7,,,,Dejan Lovren,From Throw In,Ball Receipt*,,
92,03:11.5,3,11,Croatia,Dejan Lovren,From Throw In,Carry,7,,,,Dejan Lovren,From Throw In,Carry,,
93,03:12.4,3,12,Croatia,Dejan Lovren,From Throw In,Pass,7,,,,Dejan Lovren,From Throw In,Pass,,
94,03:14.0,3,14,Croatia,Domagoj Vida,From Throw In,Ball Receipt*,7,,,,Domagoj Vida,From Throw In,Ball Receipt*,,
95,03:14.0,3,14,Croatia,Domagoj Vida,From Throw In,Carry,7,,,,Domagoj Vida,From Throw In,Carry,,
96,03:15.5,3,15,Croatia,Domagoj Vida,From Throw In,Pass,7,,,,Domagoj Vida,From Throw In,Pass,,
97,03:17.3,3,17,Croatia,Ivan Strinić,From Throw In,Ball Receipt*,7,,,,Ivan Strinić,From Throw In,Ball Receipt*,,
98,03:17.3,3,17,Croatia,Ivan Strinić,From Throw In,Carry,7,,,,Ivan Strinić,From Throw In,Carry,,
99,03:17.4,3,17,Croatia,Ivan Strinić,From Throw In,Pass,7,,,,Ivan Strinić,From Throw In,Pass,,
100,03:19.5,3,19,Croatia,Domagoj Vida,From Throw In,Ball Receipt*,7,,,,Domagoj Vida,From Throw In,Ball Receipt*,,
101,03:19.5,3,19,Croatia,Domagoj Vida,From Throw In,Carry,7,,,,Domagoj Vida,From Throw In,Carry,,
102,03:21.3,3,21,Croatia,Domagoj Vida,From Throw In,Pass,7,,,,Domagoj Vida,From Throw In,Pass,,
103,03:22.4,3,22,Croatia,Ivan Rakitić,From Throw In,Ball Receipt*,7,,,,Ivan Rakitić,From Throw In,Ball Receipt*,,
104,03:22.4,3,22,Croatia,Ivan Rakitić,From Throw In,Carry,7,,,,Ivan Rakitić,From Throw In,Carry,,
105,03:22.5,3,22,Denmark,Andreas Christensen,From Throw In,Pressure,7,,,,Andreas Christensen,From Throw In,Pressure,,
106,03:25.2,3,25,Croatia,Ivan Rakitić,From Throw In,Pass,7,,,,Ivan Rakitić,From Throw In,Pass,,
107,03:27.6,3,27,Croatia,Šime Vrsaljko,From Throw In,Ball Receipt*,7,,,,Šime Vrsaljko,From Throw In,Ball Receipt*,,
108,03:27.6,3,27,Croatia,Šime Vrsaljko,From Throw In,Pass,7,,,,Šime Vrsaljko,From Throw In,Pass,,
109,03:28.5,3,28,Croatia,Ante Rebić,From Throw In,Ball Receipt*,7,,,,Ante Rebić,From Throw In,Ball Receipt*,,
110,03:28.5,3,28,Denmark,Jonas Knudsen,From Throw In,Pass,7,,,,Jonas Knudsen,From Throw In,Pass,,
111,03:31.8,3,31,Denmark,Jonas Knudsen,From Throw In,Pressure,7,,,,Jonas Knudsen,From Throw In,Pressure,,
112,03:32.0,3,32,Croatia,Ante Rebić,From Throw In,Ball Recovery,7,,,,Ante Rebić,From Throw In,Ball Recovery,,
113,03:32.0,3,32,Croatia,Ante Rebić,From Throw In,Carry,7,,,,Ante Rebić,From Throw In,Carry,,
114,03:35.2,3,35,Denmark,Martin Braithwaite Christensen,From Throw In,Pressure,7,,,,Martin Braithwaite Christensen,From Throw In,Pressure,,
115,03:35.7,3,35,Croatia,Ante Rebić,From Throw In,Pass,7,,,,Ante Rebić,From Throw In,Pass,,
116,03:37.1,3,37,Denmark,Jonas Knudsen,From Throw In,Pressure,7,,,,Jonas Knudsen,From Throw In,Pressure,,
117,03:37.7,3,37,Croatia,Šime Vrsaljko,From Throw In,Ball Receipt*,7,,,,Šime Vrsaljko,From Throw In,Ball Receipt*,,
118,03:37.7,3,37,Croatia,Šime Vrsaljko,From Throw In,Pass,7,,,,Šime Vrsaljko,From Throw In,Pass,,
119,03:38.4,3,38,Denmark,Henrik Dalsgaard,From Throw In,Clearance,7,,,,Henrik Dalsgaard,From Throw In,Clearance,,
120,03:39.0,3,38,Denmark,Thomas Delaney,From Throw In,Block,7,,,,Thomas Delaney,From Throw In,Block,,
121,03:39.7,3,39,Croatia,Mario Mandžukić,From Throw In,Ball Recovery,7,,,,Mario Mandžukić,From Throw In,Ball Recovery,,
122,03:39.9,3,39,Croatia,Mario Mandžukić,From Throw In,Shot,7,Open Play,,,Mario Mandžukić,From Throw In,Shot,,
123,03:40.6,3,40,Denmark,Kasper Schmeichel,From Throw In,Goal Keeper,7,,,,Kasper Schmeichel,From Throw In,Goal Keeper,,
124,04:40.3,4,40,Denmark,,Regular Play,Camera On,8,,,,,Regular Play,Camera On,,
125,04:42.0,4,41,Croatia,Ante Rebić,Regular Play,Pressure,8,,,,Ante Rebić,Regular Play,Pressure,,
126,04:43.1,4,43,Denmark,Jonas Knudsen,Regular Play,Pass,8,,,,Jonas Knudsen,Regular Play,Pass,,
127,04:43.2,4,43,Croatia,Ante Rebić,Regular Play,Block,8,,,,Ante Rebić,Regular Play,Block,,
128,04:57.3,4,57,Denmark,Jonas Knudsen,From Throw In,Pass,9,,,,Jonas Knudsen,From Throw In,Pass,,
129,04:58.7,4,58,Denmark,Mathias Jattah-Njie Jørgensen,From Throw In,Ball Receipt*,9,,,,Mathias Jattah-Njie Jørgensen,From Throw In,Ball Receipt*,,
130,04:58.7,4,58,Denmark,Mathias Jattah-Njie Jørgensen,From Throw In,Carry,9,,,,Mathias Jattah-Njie Jørgensen,From Throw In,Carry,,
131,05:00.0,5,0,Denmark,Mathias Jattah-Njie Jørgensen,From Throw In,Pass,9,,,,Mathias Jattah-Njie Jørgensen,From Throw In,Pass,,
132,05:02.0,5,2,Denmark,Simon Thorup Kjær,From Throw In,Ball Receipt*,9,,,,Simon Thorup Kjær,From Throw In,Ball Receipt*,,
133,05:02.0,5,2,Denmark,Simon Thorup Kjær,From Throw In,Carry,9,,,,Simon Thorup Kjær,From Throw In,Carry,,
134,05:05.8,5,5,Denmark,Simon Thorup Kjær,From Throw In,Pass,9,,,,Simon Thorup Kjær,From Throw In,Pass,,
135,05:07.5,5,7,Denmark,Mathias Jattah-Njie Jørgensen,From Throw In,Ball Receipt*,9,,,,Mathias Jattah-Njie Jørgensen,From Throw In,Ball Receipt*,,
136,05:07.5,5,7,Denmark,Mathias Jattah-Njie Jørgensen,From Throw In,Carry,9,,,,Mathias Jattah-Njie Jørgensen,From Throw In,Carry,,
137,05:07.9,5,7,Croatia,Mario Mandžukić,From Throw In,Pressure,9,,,,Mario Mandžukić,From Throw In,Pressure,,
138,05:08.9,5,8,Denmark,Mathias Jattah-Njie Jørgensen,From Throw In,Pass,9,,,,Mathias Jattah-Njie Jørgensen,From Throw In,Pass,,
139,05:10.0,5,9,Croatia,Domagoj Vida,From Throw In,Pressure,9,,,,Domagoj Vida,From Throw In,Pressure,,
140,05:10.7,5,10,Denmark,Andreas Evald Cornelius,From Throw In,Ball Receipt*,9,,,,Andreas Evald Cornelius,From Throw In,Ball Receipt*,,
141,05:10.7,5,10,Denmark,Andreas Evald Cornelius,From Throw In,Carry,9,,,,Andreas Evald Cornelius,From Throw In,Carry,,
