index,timestamp,minute,second,team,player,play_pattern,type,possession,shot_type
1,00:00:00.000,0,0,Uruguay,,Regular Play,Starting XI,1,
2,00:00:00.000,0,0,Russia,,Regular Play,Starting XI,1,
3,00:00:00.000,0,0,Russia,,Regular Play,Half Start,1,
4,00:00:00.000,0,0,Uruguay,,Regular Play,Half Start,1,
5,00:00:00.640,0,0,Russia,Aleksey Miranchuk,From Kick Off,Pass,2,
6,00:00:01.080,0,1,Uruguay,Edinson Roberto Cavani Gómez,From Kick Off,Pressure,2,
7,00:00:02.373,0,2,Russia,Sergei Ignashevich,From Kick Off,Ball Receipt*,2,
8,00:00:02.373,0,2,Russia,Sergei Ignashevich,From Kick Off,Carry,2,
9,00:00:04.600,0,4,Russia,Sergei Ignashevich,From Kick Off,Pass,2,
10,00:00:08.000,0,8,Russia,Artem Dzyuba,From Kick Off,Ball Receipt*,2,
11,00:00:08.000,0,8,Russia,Artem Dzyuba,From Kick Off,Pass,2,
12,00:00:18.440,0,18,Uruguay,Néstor Fernando Muslera Micol,From Goal Kick,Pass,3,
13,00:00:20.160,0,20,Uruguay,Sebastián Coates Nión,From Goal Kick,Ball Receipt*,3,
14,00:00:20.160,0,20,Uruguay,Sebastián Coates Nión,From Goal Kick,Carry,3,
15,00:00:21.920,0,21,Uruguay,Sebastián Coates Nión,From Goal Kick,Pass,3,
16,00:00:23.280,0,23,Uruguay,José Martín Cáceres Silva,From Goal Kick,Ball Receipt*,3,
17,00:00:23.280,0,23,Uruguay,José Martín Cáceres Silva,From Goal Kick,Carry,3,
18,00:00:24.520,0,24,Uruguay,José Martín Cáceres Silva,From Goal Kick,Pass,3,
19,00:00:26.680,0,26,Uruguay,Sebastián Coates Nión,From Goal Kick,Ball Receipt*,3,
20,00:00:26.680,0,26,Uruguay,Sebastián Coates Nión,From Goal Kick,Carry,3,
21,00:00:26.800,0,26,Uruguay,Sebastián Coates Nión,From Goal Kick,Pass,3,
22,00:00:28.160,0,28,Uruguay,Diego Roberto Godín Leal,From Goal Kick,Ball Receipt*,3,
23,00:00:28.160,0,28,Uruguay,Diego Roberto Godín Leal,From Goal Kick,Carry,3,
24,00:00:29.760,0,29,Uruguay,Diego Roberto Godín Leal,From Goal Kick,Pass,3,
25,00:00:31.880,0,31,Uruguay,Diego Sebastián Laxalt Suárez,From Goal Kick,Ball Receipt*,3,
26,00:00:31.880,0,31,Uruguay,Diego Sebastián Laxalt Suárez,From Goal Kick,Carry,3,
27,00:00:33.040,0,33,Uruguay,Diego Sebastián Laxalt Suárez,From Goal Kick,Pass,3,
28,00:00:34.720,0,34,Uruguay,Diego Roberto Godín Leal,From Goal Kick,Ball Receipt*,3,
29,00:00:34.720,0,34,Uruguay,Diego Roberto Godín Leal,From Goal Kick,Carry,3,
30,00:00:36.253,0,36,Russia,Artem Dzyuba,From Goal Kick,Pressure,3,
31,00:00:36.520,0,36,Uruguay,Diego Roberto Godín Leal,From Goal Kick,Pass,3,
32,00:00:40.520,0,40,Uruguay,José Martín Cáceres Silva,From Goal Kick,Ball Receipt*,3,
33,00:00:40.520,0,40,Uruguay,José Martín Cáceres Silva,From Goal Kick,Carry,3,
34,00:00:41.680,0,41,Uruguay,José Martín Cáceres Silva,From Goal Kick,Pass,3,
35,00:00:43.520,0,43,Uruguay,Diego Roberto Godín Leal,From Goal Kick,Ball Receipt*,3,
36,00:00:43.520,0,43,Uruguay,Diego Roberto Godín Leal,From Goal Kick,Carry,3,
37,00:00:44.440,0,44,Uruguay,Diego Roberto Godín Leal,From Goal Kick,Pass,3,
38,00:00:46.600,0,46,Uruguay,Diego Sebastián Laxalt Suárez,From Goal Kick,Ball Receipt*,3,
39,00:00:46.600,0,46,Uruguay,Diego Sebastián Laxalt Suárez,From Goal Kick,Carry,3,
40,00:00:48.120,0,48,Uruguay,Diego Sebastián Laxalt Suárez,From Goal Kick,Pass,3,
41,00:00:48.800,0,48,Uruguay,Matías Vecino Falero,From Goal Kick,Ball Receipt*,3,
42,00:00:48.800,0,48,Uruguay,Matías Vecino Falero,From Goal Kick,Carry,3,
43,00:00:49.813,0,49,Russia,Yury Gazinskiy,From Goal Kick,Pressure,3,
