index,timestamp,minute,second,team,player,play_pattern,type,possession,shot_type
1,00:00:00.000,0,0,Uruguay,,Regular Play,Starting XI,1,
2,00:00:00.000,0,0,France,,Regular Play,Starting XI,1,
3,00:00:00.000,0,0,France,,Regular Play,Half Start,1,
4,00:00:00.000,0,0,Uruguay,,Regular Play,Half Start,1,
5,00:00:00.090,0,0,Uruguay,Luis Alberto Suárez Díaz,From Kick Off,Pass,2,
6,00:00:00.973,0,0,Uruguay,Lucas Torreira Di Pascua,From Kick Off,Ball Receipt*,2,
7,00:00:00.973,0,0,Uruguay,Lucas Torreira Di Pascua,From Kick Off,Carry,2,
8,00:00:01.600,0,1,Uruguay,Lucas Torreira Di Pascua,From Kick Off,Pass,2,
9,00:00:03.280,0,3,Uruguay,Diego Roberto Godín Leal,From Kick Off,Ball Receipt*,2,
10,00:00:03.280,0,3,Uruguay,Diego Roberto Godín Leal,From Kick Off,Carry,2,
11,00:00:03.493,0,3,France,Olivier Giroud,From Kick Off,Pressure,2,
12,00:00:04.800,0,4,Uruguay,Diego Roberto Godín Leal,From Kick Off,Pass,2,
13,00:00:06.493,0,6,France,Benjamin Pavard,From Kick Off,Pressure,2,
14,00:00:07.040,0,7,Uruguay,Cristhian Ricardo Stuani Curbelo,From Kick Off,Ball Receipt*,2,
15,00:00:07.040,0,7,Uruguay,Cristhian Ricardo Stuani Curbelo,From Kick Off,Miscontrol,2,
16,00:00:14.133,0,14,France,Benjamin Pavard,From Throw In,Pass,3,
17,00:00:15.813,0,15,France,Raphaël Varane,From Throw In,Ball Receipt*,3,
18,00:00:15.813,0,15,France,Raphaël Varane,From Throw In,Carry,3,
19,00:00:21.333,0,21,France,Raphaël Varane,From Throw In,Pass,3,
20,00:00:22.133,0,22,France,Benjamin Pavard,From Throw In,Ball Receipt*,3,
21,00:00:22.133,0,22,France,Benjamin Pavard,From Throw In,Carry,3,
22,00:00:22.253,0,22,Uruguay,Cristhian Ricardo Stuani Curbelo,From Throw In,Pressure,3,
23,00:00:23.253,0,23,France,Benjamin Pavard,From Throw In,Pass,3,
24,00:00:23.933,0,23,France,Kylian Mbappé Lottin,From Throw In,Ball Receipt*,3,
25,00:00:23.933,0,23,France,Kylian Mbappé Lottin,From Throw In,Carry,3,
26,00:00:25.853,0,25,Uruguay,Diego Sebastián Laxalt Suárez,From Throw In,Dribbled Past,3,
27,00:00:25.853,0,25,France,Kylian Mbappé Lottin,From Throw In,Dribble,3,
28,00:00:25.853,0,25,France,Kylian Mbappé Lottin,From Throw In,Carry,3,
29,00:00:27.333,0,27,France,Kylian Mbappé Lottin,From Throw In,Pass,3,
30,00:00:27.733,0,27,France,Antoine Griezmann,From Throw In,Ball Receipt*,3,
31,00:00:27.733,0,27,France,Antoine Griezmann,From Throw In,Pass,3,
32,00:00:28.373,0,28,France,Kylian Mbappé Lottin,From Throw In,Ball Receipt*,3,
33,00:00:28.373,0,28,Uruguay,Lucas Torreira Di Pascua,From Throw In,Block,3,
34,00:00:29.653,0,29,France,"N""Golo Kanté",From Throw In,Pass,3,
35,00:00:30.612,0,30,France,Olivier Giroud,From Throw In,Ball Receipt*,3,
36,00:00:30.612,0,30,France,Olivier Giroud,From Throw In,Carry,3,
37,00:00:30.893,0,30,France,Olivier Giroud,From Throw In,Pass,3,
38,00:00:32.133,0,32,France,Benjamin Pavard,From Throw In,Ball Receipt*,3,
39,00:00:32.133,0,32,France,Benjamin Pavard,From Throw In,Carry,3,
40,00:00:32.893,0,32,France,Benjamin Pavard,From Throw In,Pass,3,
41,00:00:33.373,0,33,France,"N""Golo Kanté",From Throw In,Ball Receipt*,3,
42,00:00:33.373,0,33,France,"N""Golo Kanté",From Throw In,Carry,3,
43,00:00:33.440,0,33,Uruguay,Cristhian Ricardo Stuani Curbelo,From Throw In,Pressure,3,
44,00:00:37.093,0,37,France,"N""Golo Kanté",From Throw In,Pass,3,
45,00:00:39.173,0,39,France,Samuel Yves Umtiti,From Throw In,Ball Receipt*,3,
46,00:00:39.173,0,39,France,Samuel Yves Umtiti,From Throw In,Carry,3,
47,00:00:41.413,0,41,France,Samuel Yves Umtiti,From Throw In,Pass,3,
48,00:00:42.813,0,42,France,Lucas Hernández Pi,From Throw In,Ball Receipt*,3,
49,00:00:42.813,0,42,France,Lucas Hernández Pi,From Throw In,Carry,3,
50,00:00:44.000,0,44,Uruguay,Nahitan Michel Nández Acosta,From Throw In,Pressure,3,
51,00:00:45.133,0,45,France,Lucas Hernández Pi,From Throw In,Pass,3,
52,00:00:45.933,0,45,France,Corentin Tolisso,From Throw In,Ball Receipt*,3,
53,00:00:45.933,0,45,France,Corentin Tolisso,From Throw In,Carry,3,
54,00:00:47.493,0,47,France,Corentin Tolisso,From Throw In,Pass,3,
55,00:00:48.493,0,48,France,Samuel Yves Umtiti,From Throw In,Ball Receipt*,3,
56,00:00:48.493,0,48,France,Samuel Yves Umtiti,From Throw In,Carry,3,
57,00:00:54.853,0,54,France,Samuel Yves Umtiti,From Throw In,Pass,3,
58,00:00:55.853,0,55,France,Lucas Hernández Pi,From Throw In,Ball Receipt*,3,
59,00:00:55.853,0,55,France,Lucas Hernández Pi,From Throw In,Carry,3,
60,00:01:00.213,1,0,Uruguay,José Martín Cáceres Silva,From Throw In,Pressure,3,
61,00:01:02.453,1,2,France,Lucas Hernández Pi,From Throw In,Pass,3,
62,00:01:02.933,1,2,France,"N""Golo Kanté",From Throw In,Ball Receipt*,3,
63,00:01:02.933,1,2,France,"N""Golo Kanté",From Throw In,Carry,3,
64,00:01:04.253,1,4,France,"N""Golo Kanté",From Throw In,Pass,3,
65,00:01:05.333,1,5,France,Raphaël Varane,From Throw In,Ball Receipt*,3,
66,00:01:05.333,1,5,France,Raphaël Varane,From Throw In,Carry,3,
67,00:01:07.413,1,7,France,Raphaël Varane,From Throw In,Pass,3,
68,00:01:08.733,1,8,France,Benjamin Pavard,From Throw In,Ball Receipt*,3,
69,00:01:08.733,1,8,France,Benjamin Pavard,From Throw In,Carry,3,
70,00:01:10.333,1,10,France,Benjamin Pavard,From Throw In,Pass,3,
71,00:01:11.133,1,11,France,Paul Pogba,From Throw In,Ball Receipt*,3,
72,00:01:11.133,1,11,France,Paul Pogba,From Throw In,Carry,3,
73,00:01:12.573,1,12,France,Paul Pogba,From Throw In,Pass,3,
74,00:01:13.412,1,13,France,Olivier Giroud,From Throw In,Ball Receipt*,3,
75,00:01:13.412,1,13,France,Olivier Giroud,From Throw In,Carry,3,
76,00:01:13.533,1,13,France,Olivier Giroud,From Throw In,Pass,3,
77,00:01:13.840,1,13,France,Corentin Tolisso,From Throw In,Ball Receipt*,3,
78,00:01:13.840,1,13,Uruguay,José María Giménez de Vargas,From Throw In,Interception,3,
79,00:01:14.720,1,14,Uruguay,Diego Roberto Godín Leal,From Throw In,Pass,3,
80,00:01:16.293,1,16,Uruguay,Luis Alberto Suárez Díaz,From Throw In,Ball Receipt*,3,
81,00:01:16.293,1,16,France,"N""Golo Kanté",From Throw In,Pass,3,
82,00:01:19.440,1,19,Uruguay,Nahitan Michel Nández Acosta,From Throw In,Pass,3,
83,00:01:21.013,1,21,Uruguay,Luis Alberto Suárez Díaz,From Throw In,Ball Receipt*,3,
84,00:01:21.013,1,21,France,"N""Golo Kanté",From Throw In,Pass,3,
85,00:01:21.813,1,21,France,Lucas Hernández Pi,From Throw In,Ball Receipt*,3,
86,00:01:21.813,1,21,France,Lucas Hernández Pi,From Throw In,Carry,3,
87,00:01:23.773,1,23,France,Lucas Hernández Pi,From Throw In,Pass,3,
88,00:01:24.613,1,24,France,Antoine Griezmann,From Throw In,Ball Receipt*,3,
89,00:01:24.613,1,24,France,Antoine Griezmann,From Throw In,Carry,3,
90,00:01:27.173,1,27,France,Antoine Griezmann,From Throw In,Pass,3,
91,00:01:28.133,1,28,France,Corentin Tolisso,From Throw In,Ball Receipt*,3,
