index,timestamp,minute,second,team,player,play_pattern,type,possession,shot_type
1,00:00:00.000,0,0,Serbia,,Regular Play,Starting XI,1,
2,00:00:00.000,0,0,Brazil,,Regular Play,Starting XI,1,
3,00:00:00.000,0,0,Brazil,,Regular Play,Half Start,1,
4,00:00:00.000,0,0,Serbia,,Regular Play,Half Start,1,
5,00:00:00.200,0,0,Brazil,Gabriel Fernando de Jesus,From Kick Off,Pass,2,
6,00:00:01.400,0,1,Brazil,Carlos Henrique Casimiro,From Kick Off,Ball Receipt*,2,
7,00:00:01.400,0,1,Brazil,Carlos Henrique Casimiro,From Kick Off,Carry,2,
8,00:00:01.500,0,1,Brazil,Carlos Henrique Casimiro,From Kick Off,Pass,2,
9,00:00:02.180,0,2,Brazil,José Paulo Bezzera Maciel Júnior,From Kick Off,Ball Receipt*,2,
10,00:00:02.180,0,2,Brazil,José Paulo Bezzera Maciel Júnior,From Kick Off,Carry,2,
11,00:00:02.320,0,2,Brazil,José Paulo Bezzera Maciel Júnior,From Kick Off,Pass,2,
12,00:00:03.600,0,3,Brazil,João Miranda de Souza Filho,From Kick Off,Ball Receipt*,2,
13,00:00:03.600,0,3,Brazil,João Miranda de Souza Filho,From Kick Off,Carry,2,
14,00:00:03.692,0,3,Serbia,Aleksandar Mitrović,From Kick Off,Pressure,2,
15,00:00:03.740,0,3,Brazil,João Miranda de Souza Filho,From Kick Off,Pass,2,
16,00:00:04.580,0,4,Brazil,Philippe Coutinho Correia,From Kick Off,Ball Receipt*,2,
17,00:00:04.580,0,4,Brazil,Philippe Coutinho Correia,From Kick Off,Carry,2,
18,00:00:04.660,0,4,Brazil,Philippe Coutinho Correia,From Kick Off,Pass,2,
19,00:00:05.053,0,5,Serbia,Aleksandar Mitrović,From Kick Off,Pressure,2,
20,00:00:05.700,0,5,Brazil,João Miranda de Souza Filho,From Kick Off,Ball Receipt*,2,
21,00:00:05.700,0,5,Brazil,João Miranda de Souza Filho,From Kick Off,Carry,2,
22,00:00:05.713,0,5,Brazil,João Miranda de Souza Filho,From Kick Off,Pass,2,
23,00:00:06.939,0,6,Brazil,Marcelo Vieira da Silva Júnior,From Kick Off,Ball Receipt*,2,
24,00:00:06.939,0,6,Brazil,Marcelo Vieira da Silva Júnior,From Kick Off,Carry,2,
