index,timestamp,minute,second,team,player,play_pattern,type,possession,shot_type
1,00:00:00.000,0,0,Colombia,,Regular Play,Starting XI,1,
2,00:00:00.000,0,0,Japan,,Regular Play,Starting XI,1,
3,00:00:00.000,0,0,Japan,,Regular Play,Half Start,1,
4,00:00:00.000,0,0,Colombia,,Regular Play,Half Start,1,
5,00:00:00.160,0,0,Japan,Shinji Kagawa,From Kick Off,Pass,2,
6,00:00:01.560,0,1,Japan,Makoto Hasebe,From Kick Off,Ball Receipt*,2,
7,00:00:01.560,0,1,Japan,Makoto Hasebe,From Kick Off,Carry,2,
8,00:00:01.800,0,1,Japan,Makoto Hasebe,From Kick Off,Pass,2,
9,00:00:02.839,0,2,Japan,Maya Yoshida,From Kick Off,Ball Receipt*,2,
10,00:00:02.839,0,2,Japan,Maya Yoshida,From Kick Off,Carry,2,
11,00:00:05.227,0,5,Colombia,Radamel Falcao García Zárate,From Kick Off,Pressure,2,
12,00:00:06.840,0,6,Japan,Maya Yoshida,From Kick Off,Pass,2,
13,00:00:09.867,0,9,Japan,Yūya Ōsako,From Kick Off,Ball Receipt*,2,
14,00:00:09.867,0,9,Colombia,Oscar Fabián Murillo Murillo,From Kick Off,Pass,2,
15,00:00:11.880,0,11,Colombia,José Heriberto Izquierdo Mena,From Kick Off,Ball Receipt*,2,
16,00:00:11.880,0,11,Japan,Makoto Hasebe,From Kick Off,Pass,2,
17,00:00:14.360,0,14,Japan,Genki Haraguchi,From Kick Off,Ball Receipt*,2,
18,00:00:23.827,0,23,Colombia,Johan Andrés Mojica Palacio,From Throw In,Pass,3,
19,00:00:24.600,0,24,Japan,Hiroki Sakai,From Throw In,Pressure,3,
20,00:00:24.867,0,24,Colombia,José Heriberto Izquierdo Mena,From Throw In,Ball Receipt*,3,
21,00:00:24.867,0,24,Colombia,José Heriberto Izquierdo Mena,From Throw In,Carry,3,
22,00:00:24.947,0,24,Colombia,José Heriberto Izquierdo Mena,From Throw In,Pass,3,
23,00:00:26.427,0,26,Colombia,Radamel Falcao García Zárate,From Throw In,Ball Receipt*,3,
24,00:00:26.640,0,26,Japan,Gaku Shibasaki,From Throw In,Pressure,3,
25,00:00:26.640,0,26,Colombia,Radamel Falcao García Zárate,From Throw In,Pass,3,
26,00:00:27.400,0,27,Colombia,Jefferson Andrés Lerma Solís,From Throw In,Ball Receipt*,3,
27,00:00:27.400,0,27,Colombia,Jefferson Andrés Lerma Solís,From Throw In,Carry,3,
28,00:00:28.067,0,28,Colombia,Jefferson Andrés Lerma Solís,From Throw In,Pass,3,
29,00:00:28.360,0,28,Colombia,Radamel Falcao García Zárate,From Throw In,Ball Receipt*,3,
30,00:00:28.360,0,28,Japan,Gaku Shibasaki,From Throw In,Block,3,
31,00:00:28.680,0,28,Japan,Shinji Kagawa,From Throw In,Pressure,3,
32,00:00:29.187,0,29,Colombia,Carlos Alberto Sánchez Moreno,From Throw In,Pass,3,
33,00:00:29.760,0,29,Colombia,Jefferson Andrés Lerma Solís,From Throw In,Ball Receipt*,3,
34,00:00:29.760,0,29,Colombia,Jefferson Andrés Lerma Solís,From Throw In,Carry,3,
35,00:00:29.842,0,29,Japan,Gaku Shibasaki,From Throw In,Pressure,3,
36,00:00:30.387,0,30,Colombia,Jefferson Andrés Lerma Solís,From Throw In,Pass,3,
37,00:00:31.120,0,31,Colombia,Carlos Alberto Sánchez Moreno,From Throw In,Ball Receipt*,3,
38,00:00:31.120,0,31,Colombia,Carlos Alberto Sánchez Moreno,From Throw In,Carry,3,
39,00:00:32.600,0,32,Colombia,Carlos Alberto Sánchez Moreno,From Throw In,Pass,3,
40,00:00:35.720,0,35,Colombia,Santiago Arias Naranjo,From Throw In,Ball Receipt*,3,
41,00:00:35.720,0,35,Colombia,Santiago Arias Naranjo,From Throw In,Carry,3,
42,00:00:35.787,0,35,Colombia,Santiago Arias Naranjo,From Throw In,Pass,3,
43,00:00:37.240,0,37,Colombia,Juan Guillermo Cuadrado Bello,From Throw In,Ball Receipt*,3,
44,00:00:37.240,0,37,Colombia,Juan Guillermo Cuadrado Bello,From Throw In,Carry,3,
45,00:00:39.160,0,39,Colombia,Juan Guillermo Cuadrado Bello,From Throw In,Pass,3,
46,00:00:40.026,0,40,Colombia,Juan Fernando Quintero Paniagua,From Throw In,Ball Receipt*,3,
47,00:00:40.026,0,40,Colombia,Juan Fernando Quintero Paniagua,From Throw In,Carry,3,
48,00:00:40.080,0,40,Japan,Makoto Hasebe,From Throw In,Pressure,3,
49,00:00:40.117,0,40,Colombia,Juan Fernando Quintero Paniagua,From Throw In,Pass,3,
50,00:00:40.800,0,40,Colombia,Juan Guillermo Cuadrado Bello,From Throw In,Ball Receipt*,3,
51,00:00:40.800,0,40,Colombia,Juan Guillermo Cuadrado Bello,From Throw In,Carry,3,
52,00:00:40.840,0,40,Japan,Takashi Inui,From Throw In,Pressure,3,
53,00:00:42.800,0,42,Japan,Takashi Inui,From Throw In,Foul Committed,3,
54,00:00:42.800,0,42,Colombia,Juan Guillermo Cuadrado Bello,From Throw In,Foul Won,3,
55,00:00:53.067,0,53,Colombia,Santiago Arias Naranjo,From Free Kick,Pass,4,
56,00:00:54.800,0,54,Colombia,Davinson Sánchez Mina,From Free Kick,Ball Receipt*,4,
57,00:00:54.800,0,54,Colombia,Davinson Sánchez Mina,From Free Kick,Carry,4,
58,00:00:56.120,0,56,Colombia,Davinson Sánchez Mina,From Free Kick,Pass,4,
59,00:00:57.720,0,57,Colombia,Oscar Fabián Murillo Murillo,From Free Kick,Ball Receipt*,4,
60,00:00:57.720,0,57,Colombia,Oscar Fabián Murillo Murillo,From Free Kick,Carry,4,
61,00:00:57.787,0,57,Colombia,Oscar Fabián Murillo Murillo,From Free Kick,Pass,4,
62,00:00:59.880,0,59,Colombia,David Ospina Ramírez,From Free Kick,Ball Receipt*,4,
63,00:00:59.880,0,59,Colombia,David Ospina Ramírez,From Free Kick,Carry,4,
64,00:01:00.867,1,0,Colombia,David Ospina Ramírez,From Free Kick,Pass,4,
65,00:01:01.920,1,1,Colombia,Oscar Fabián Murillo Murillo,From Free Kick,Ball Receipt*,4,
66,00:01:01.920,1,1,Colombia,Oscar Fabián Murillo Murillo,From Free Kick,Carry,4,
67,00:01:04.402,1,4,Japan,Yūya Ōsako,From Free Kick,Pressure,4,
