index,timestamp,minute,second,team,player,play_pattern,type,possession,shot_type
1,00:00:00.000,0,0,Uruguay,,Regular Play,Starting XI,1,
2,00:00:00.000,0,0,Portugal,,Regular Play,Starting XI,1,
3,00:00:00.000,0,0,Uruguay,,Regular Play,Half Start,1,
4,00:00:00.000,0,0,Portugal,,Regular Play,Half Start,1,
5,00:00:02.000,0,2,Portugal,Gonçalo Manuel Ganchinho Guedes,From Kick Off,Pass,2,
6,00:00:02.800,0,2,Portugal,Adrien Sebastian Perruchet Silva,From Kick Off,Ball Receipt*,2,
7,00:00:02.800,0,2,Portugal,Adrien Sebastian Perruchet Silva,From Kick Off,Pass,2,
8,00:00:03.500,0,3,Uruguay,Nahitan Michel Nández Acosta,From Kick Off,Pressure,2,
9,00:00:04.280,0,4,Portugal,Raphaël Adelino José Guerreiro,From Kick Off,Ball Receipt*,2,
10,00:00:04.280,0,4,Portugal,Raphaël Adelino José Guerreiro,From Kick Off,Carry,2,
11,00:00:04.300,0,4,Portugal,Raphaël Adelino José Guerreiro,From Kick Off,Pass,2,
12,00:00:05.180,0,5,Portugal,João Mário Naval da Costa Eduardo,From Kick Off,Ball Receipt*,2,
13,00:00:05.180,0,5,Portugal,João Mário Naval da Costa Eduardo,From Kick Off,Carry,2,
14,00:00:06.860,0,6,Portugal,João Mário Naval da Costa Eduardo,From Kick Off,Pass,2,
15,00:00:09.700,0,9,Portugal,José Miguel da Rocha Fonte,From Kick Off,Ball Receipt*,2,
16,00:00:09.700,0,9,Portugal,José Miguel da Rocha Fonte,From Kick Off,Carry,2,
17,00:00:10.340,0,10,Uruguay,Luis Alberto Suárez Díaz,From Kick Off,Pressure,2,
18,00:00:15.180,0,15,Portugal,José Miguel da Rocha Fonte,From Kick Off,Pass,2,
19,00:00:17.820,0,17,Portugal,Cristiano Ronaldo dos Santos Aveiro,From Kick Off,Ball Receipt*,2,
20,00:00:17.820,0,17,Uruguay,José Martín Cáceres Silva,From Kick Off,Pass,2,
21,00:00:19.100,0,19,Portugal,Adrien Sebastian Perruchet Silva,From Kick Off,Pass,2,
22,00:00:19.940,0,19,Portugal,João Mário Naval da Costa Eduardo,From Kick Off,Ball Receipt*,2,
23,00:00:19.940,0,19,Portugal,João Mário Naval da Costa Eduardo,From Kick Off,Pass,2,
24,00:00:20.500,0,20,Uruguay,Rodrigo Bentancur Colmán,From Kick Off,Pressure,2,
25,00:00:21.540,0,21,Portugal,Adrien Sebastian Perruchet Silva,From Kick Off,Ball Receipt*,2,
26,00:00:21.540,0,21,Uruguay,Rodrigo Bentancur Colmán,From Kick Off,Ball Recovery,2,
27,00:00:21.540,0,21,Uruguay,Rodrigo Bentancur Colmán,From Kick Off,Carry,2,
28,00:00:22.940,0,22,Uruguay,Rodrigo Bentancur Colmán,From Kick Off,Pass,2,
29,00:00:24.420,0,24,Uruguay,Edinson Roberto Cavani Gómez,From Kick Off,Ball Receipt*,2,
30,00:00:24.420,0,24,Uruguay,Edinson Roberto Cavani Gómez,From Kick Off,Pass,2,
31,00:00:25.020,0,25,Uruguay,Luis Alberto Suárez Díaz,From Kick Off,Ball Receipt*,2,
32,00:00:25.020,0,25,Portugal,Raphaël Adelino José Guerreiro,From Kick Off,Interception,2,
33,00:00:25.020,0,25,Portugal,Raphaël Adelino José Guerreiro,From Kick Off,Carry,2,
34,00:00:25.700,0,25,Uruguay,Edinson Roberto Cavani Gómez,From Kick Off,Pressure,2,
35,00:00:26.220,0,26,Portugal,Raphaël Adelino José Guerreiro,From Kick Off,Pass,2,
36,00:00:27.140,0,27,Portugal,João Mário Naval da Costa Eduardo,From Kick Off,Ball Receipt*,2,
37,00:00:27.140,0,27,Portugal,João Mário Naval da Costa Eduardo,From Kick Off,Carry,2,
38,00:00:27.500,0,27,Portugal,João Mário Naval da Costa Eduardo,From Kick Off,Miscontrol,2,
39,00:00:28.420,0,28,Uruguay,José Martín Cáceres Silva,Regular Play,Pass,3,
